index,conference_name,acronym,rank,url
250.0,Australian Conference on Laser Diagnostics in Fluid Mechanics and Combustion,,B,https://portal.core.edu.au/conf-ranks/250/
251.0,Australian Conference on Neural Networks,ACNN,Australasian,https://portal.core.edu.au/conf-ranks/251/
252.0,Australian Conference on Software Metrics,ACOSM,Australasian,https://portal.core.edu.au/conf-ranks/252/
253.0,Australian Data Mining Conference,AusDM,Australasian C,https://portal.core.edu.au/conf-ranks/253/
254.0,Australian Digital Forensics Conference,,Australasian,https://portal.core.edu.au/conf-ranks/254/
255.0,Australian Earthquake Engineering Conference,,B,https://portal.core.edu.au/conf-ranks/255/
256.0,Australian Game Developers Conference,AGDC,Australasian,https://portal.core.edu.au/conf-ranks/256/
257.0,Australian Geothermal Energy Conference,,C,https://portal.core.edu.au/conf-ranks/257/
258.0,Australian Information Security Management Conference,ISM,Australasian,https://portal.core.edu.au/conf-ranks/258/
259.0,Australian Information Warfare and Security Conference,WarSec,Australasian,https://portal.core.edu.au/conf-ranks/259/
260.0,Australian Institute of Building Surveyors International Refereed Conference,AIBS,B,https://portal.core.edu.au/conf-ranks/260/
